AGE,GENDER,NUM_SESSIONS,ID
29,1,1,2
28,1,2,3
31,0,2,4
28,1,3,5
32,0,2,6
32,1,1,7
33,1,3,9
22,1,2,10
22,0,2,11
30,0,2,13
22,0,2,15
22,0,4,17
25,1,2,18
23,0,5,20
28,1,2,23
42,1,4,25
63,1,5,27
28,1,3,30
27,1,5,34
36,0,5,35
23,0,2,40
58,1,4,41
54,1,2,42
41,0,5,43
40,1,5,44
23,0,5,51
22,0,5,55
23,0,2,58
25,0,3,59
38,0,5,76
32,0,2,78
30,0,5,79
25,1,2,82
52,1,1,83
64,0,2,84
24,0,2,90
32,0,5,92
25,0,2,96
75,1,2,97
75,0,2,98
26,0,4,100
25,0,2,101
26,1,3,102
33,0,5,106
25,0,2,107
26,0,2,108
33,0,2,110
23,0,3,112
19,1,4,113
27,0,4,114
31,0,5,115
29,0,2,116
23,1,5,118
21,1,1,121
20,0,3,122
21,0,3,123
25,1,3,125
24,0,2,126
20,1,4,127
55,1,3,128
55,0,2,129
25,1,2,132
43,0,3,133
25,1,5,134
41,0,2,136
22,0,3,139
22,0,5,140
29,1,3,142
36,0,2,143
32,0,5,144
25,1,3,148
25,0,2,149
22,1,2,150
26,0,5,151
24,1,2,152
27,1,2,153
62,1,2,154
32,0,5,156
53,0,3,157
22,0,2,164
58,1,2,165
24,1,2,166
37,1,2,167
38,0,2,168
31,1,3,169
44,1,2,170
33,1,3,171
54,1,2,172
17,1,4,173
24,0,1,174
55,0,2,175
18,1,3,176
55,1,1,179
57,1,2,184
59,0,2,185
28,0,2,188
31,0,2,189
21,0,2,191
21,0,1,192
